Date,mouse_number,genotype,Time of weight / food check (HH:MM),Weight (g),Sex
9/16/2018,1,Prrxl1WT,11:06:00,61.1,M
9/16/2018,2,Prrxl1WT,11:19:00,43.1,M
9/16/2018,13,Prrxl1KO,12:35:00,23.2,F
9/16/2018,14,Prrxl1KO,12:36:00,31.9,F
9/17/2018,1,Prrxl1WT,15:49:00,59.6,M
9/17/2018,2,Prrxl1WT,11:33:00,41.9,M
9/17/2018,13,Prrxl1KO,14:45:00,22.5,F
9/17/2018,14,Prrxl1KO,15:24:00,30.7,F
9/18/2018,1,Prrxl1WT,15:11:00,58.6,M
9/18/2018,2,Prrxl1WT,11:06:00,41.4,M
9/18/2018,13,Prrxl1KO,15:22:00,22.2,F
9/18/2018,14,Prrxl1KO,14:39:00,29.8,F
9/19/2018,1,Prrxl1WT,14:57:00,57.7,M
9/19/2018,2,Prrxl1WT,15:08:00,40.6,M
9/19/2018,13,Prrxl1KO,15:34:00,22.4,F
9/19/2018,14,Prrxl1KO,15:32:00,28.4,F
9/20/2018,1,Prrxl1WT,12:33:00,57.1,M
9/20/2018,2,Prrxl1WT,12:46:00,39.7,M
9/20/2018,13,Prrxl1KO,13:15:00,21.7,F
9/20/2018,14,Prrxl1KO,13:19:00,27.9,F
9/21/2018,1,Prrxl1WT,10:49:00,56.5,M
9/21/2018,2,Prrxl1WT,10:58:00,39.3,M
9/22/2018,1,Prrxl1WT,13:18:00,55.4,M
9/22/2018,2,Prrxl1WT,13:33:00,38.3,M
9/23/2018,1,Prrxl1WT,10:20:00,54.9,M
9/23/2018,2,Prrxl1WT,10:33:00,38.1,M
9/24/2018,1,Prrxl1WT,11:08:00,54.5,M
9/24/2018,2,Prrxl1WT,11:16:00,37.2,M
9/24/2018,13,Prrxl1KO,11:35:00,22,F
9/24/2018,14,Prrxl1KO,11:36:00,26.5,F
9/25/2018,1,Prrxl1WT,10:40:00,53.9,M
9/25/2018,2,Prrxl1WT,10:46:00,36.9,M
9/25/2018,13,Prrxl1KO,11:14:00,21,F
9/25/2018,14,Prrxl1KO,11:14:00,26.2,F
9/26/2018,1,Prrxl1WT,11:38:00,53.5,M
9/26/2018,2,Prrxl1WT,11:45:00,36.3,M
9/26/2018,13,Prrxl1KO,12:14:00,20.3,F
9/26/2018,14,Prrxl1KO,12:15:00,25.6,F
9/27/2018,1,Prrxl1WT,10:51:00,53.1,M
9/27/2018,2,Prrxl1WT,10:58:00,35.9,M
9/28/2018,1,Prrxl1WT,12:18:00,52.5,M
9/28/2018,2,Prrxl1WT,12:26:00,35.4,M
9/29/2018,1,Prrxl1WT,14:22:00,51.7,M
9/29/2018,2,Prrxl1WT,14:33:00,35.1,M
9/29/2018,13,Prrxl1KO,15:04:00,19.8,F
9/29/2018,14,Prrxl1KO,15:03:00,26,F
9/30/2018,1,Prrxl1WT,13:05:00,51.4,M
9/30/2018,2,Prrxl1WT,13:16:00,34.8,M
10/1/2018,1,Prrxl1WT,12:11:00,51.1,M
10/1/2018,2,Prrxl1WT,12:17:00,34.7,M
10/2/2018,1,Prrxl1WT,10:45:00,50.9,M
10/2/2018,2,Prrxl1WT,10:52:00,34.6,M
10/2/2018,13,Prrxl1KO,13:17:00,19.9,F
10/2/2018,14,Prrxl1KO,13:15:00,27.8,F
10/3/2018,2,Prrxl1WT,12:32:00,34.4,M
10/3/2018,14,Prrxl1KO,12:50:00,28.9,F
10/4/2018,2,Prrxl1WT,11:56:00,34.3,M
10/5/2018,2,Prrxl1WT,12:48:00,34,M
10/6/2018,2,Prrxl1WT,11:29:00,34.2,M
10/7/2018,2,Prrxl1WT,13:27:00,34,M
10/8/2018,2,Prrxl1WT,12:52:00,33.8,M
10/8/2018,13,Prrxl1KO,13:34:00,20.2,F
10/8/2018,14,Prrxl1KO,13:36:00,27.7,F
10/9/2018,2,Prrxl1WT,13:26:00,33.8,M
10/9/2018,14,Prrxl1KO,13:55:00,27.3,F
10/10/2018,2,Prrxl1WT,16:13:00,33.7,M
10/11/2018,2,Prrxl1WT,17:16:00,33.4,M
10/12/2018,2,Prrxl1WT,12:34:00,33.5,M
10/13/2018,2,Prrxl1WT,13:59:00,33.2,M
10/14/2018,2,Prrxl1WT,11:44:00,33,M
10/15/2018,2,Prrxl1WT,12:13:00,33,M
10/16/2018,2,Prrxl1WT,15:08:00,32.8,M
10/29/2018,13,Prrxl1KO,12:45:00,22.4,F
10/29/2018,14,Prrxl1KO,12:44:00,28.6,F
10/30/2018,13,Prrxl1KO,12:06:00,23.2,F
10/30/2018,14,Prrxl1KO,12:05:00,31.1,F
10/31/2018,13,Prrxl1KO,12:35:00,22.6,F
10/31/2018,14,Prrxl1KO,12:36:00,29.7,F
11/1/2018,13,Prrxl1KO,14:23:00,23.7,F
11/1/2018,14,Prrxl1KO,14:22:00,30.8,F
11/2/2018,13,Prrxl1KO,16:41:00,21.9,F
11/2/2018,14,Prrxl1KO,16:42:00,29.7,F
1/17/2019,3,Prrxl1WT,17:34:00,49.1,F
1/17/2019,5,Prrxl1WT,17:31:00,48.3,F
1/17/2019,6,Prrxl1WT,17:36:00,25.3,F
1/18/2019,3,Prrxl1WT,18:40:00,49.3,F
1/18/2019,12,Prrxl1KO,14:30:00,31.1,F
1/18/2019,5,Prrxl1WT,17:43:00,48.7,F
