mouse_number,genotype,session_number,trial_number,Sex,contact_detach_timestamps_milliseconds
4,Prrxl1WT,1,1,M,[  -4  543  596  645  699  749  791  854  907  988 1035 1066 1696 1722]
4,Prrxl1WT,1,2,M,[  1  46 417 466]
4,Prrxl1WT,1,3,M,"[   1   38  181  247  272  313  350  422  447  499  541  591  634  684
  727  885  938 1005 1054 1118]"
4,Prrxl1WT,1,4,M,[   1   51   75 2516 2560 3136 3175 3309 3328 4455 4524 4569 4611]
4,Prrxl1WT,1,5,M,[ -77    1   22  103  570  622 1713 1761 4853 4907 4934 4959 4986]
4,Prrxl1WT,1,6,M,[   1  763  811  990 1038 3549]
4,Prrxl1WT,1,7,M,"[   1   26   55  805  853 1694 1860 1886 1935 1975 2018 2080 2156 2500
 3018 3054 3132]"
4,Prrxl1WT,1,8,M,"[   1  598  624  677  719 1169 1194 1266 1314 1641 1761 1811 1930 1961
 3567 3592 3657 3697]"
4,Prrxl1WT,1,9,M,[   1   32   85  532  596  641  695  855  914  968 1020 1431]
4,Prrxl1WT,1,10,M,"[   1   52   72  554  595 1060 1119 1197 1245 1309 1362 1434 2708 2758
 2794 2853 2921 2962]"
4,Prrxl1WT,1,11,M,"[   1   37   79  423  481  521  575  635  672  730  771  857  883 2169
 2195 3267 3288 3338 4199 4496]"
4,Prrxl1WT,1,12,M,"[   1   35   72  135  177  565  596  674  705  779  810  887  929 1002
 1072 1134]"
4,Prrxl1WT,1,13,M,[   1  559  613  690  716  807  828 3164 4031 4678 4722 4955]
4,Prrxl1WT,1,14,M,[   1   32  220  355  992 1817 1854 1968 1999 2062]
4,Prrxl1WT,1,15,M,"[   1   45   83  153  178  349  385  543  596  641  701  851  893 1217
 1239 1453]"
4,Prrxl1WT,1,16,M,"[   1   36   68  128  170  238  280  351  380  452  489  539  586  647
  689  779  797  873  905  964 1051 1077 1780 1937 1963 2270]"
4,Prrxl1WT,1,17,M,[   1  584  609  669  715  790  832  896  939 1299 2025 2180]
4,Prrxl1WT,1,18,M,"[   1   41   78  137  179  558  600  661  709  769  799  860  902  975
 1023 1092 1151 1214 1905 2173 2226]"
4,Prrxl1WT,1,19,M,"[   1   41  112  205  287  356  392  538  586  645  693  749  785  876
  902  971 1014]"
4,Prrxl1WT,1,20,M,[  1  56  98 270 323]
