mouse_number,number_of_trials,first10trials_CDs_count_mean,first10trials_CDs_count_standard_deviation_of_mean,last10trials_CDs_count_mean,last10trials_CDs_count_standard_deviation_of_mean,CDs_per_trial,genotype
1,"[80, 150, 313]",31.83,2.68,30.43,3.39,"[33 33 51 34  2 46 36 15 19  2  4  2  2  6  6 58 13  3  2 21 29 32 24 30
 58 26 14 26 14 42 17  4 13 18 26 16 34  4 15 28 15 30 49 24 20  2 17 23
 15 19 35 17  5  2  8 18  8  2 19  6  7  1  5  3  1 11  1  6  5 10  9  6
 14 25 23 18 23 26  1 13 38 12 13  3 21 11  7  5 23 46 20 30 44 32 15 63
 59 37 21 13 10 42 30 53 41 39  5 18 60  3  2  2 68 14 52 28 41 21 34 34
 24 42 60 53 42 31 26  6  4 56 27 47 41 40 46 43 32 34 30 14 34 12 18  4
 42 24 15 18 15 48 24 18 34 18 28 41 25 31 49 26 36 48 30 29 39 45 34 34
 26 46 22 48 58 27 15 20 14 20 34 38 50 20 15  4 22 20 16 50 24 42 50 42
 39 52 43 27 49 53 19 41 53 36 26 37 28 30 33 34 25 20 36 55 27 24 42 36
 22 26 42 30 24 21 30 20 21 48 31 17 25 10 48 37 25 31 11 31 28 39 33 32
 35 37 48 14 48 44 44 56 40 56 41 31 38 26 52 51  6 56 55 46 18 35 26 14
 35 51 31 30 39 61 44 58 47 11 57 45 57 28 54 32 50 50 20 48 61 33 48 66
 41 56 31 16 65 63 61  5 26 54 42 20 31 67 30 24 50 38 41 59 29 43 46 33
 62 54 32 52 42 59 18 62 38 53 46 43 37 45 21 46 52 27 50 30 51 39 41 40
 45 52 38 45 32 45 53 41 39 59 65 38 47 31 44 55 16 46 52 36 42 56 30 24
 36 32 41 31 16 57 44 17  8 14  6 14 20 15 50 25 50 36 15 14 18 20 54 49
 36 63 75 61 27 26 53 41 26 32 70 21 51  2 70 62 56 78 46 50 30 52 38 31
 35 75 74 58 46 50 53 48 33 45  5 14 49 48 39 57 56 49 37 44 24 32 52 19
 47 30 46 15 18 56 63 44 53 66 51 32 53 40 53 47 52 38 57 37 33 47 43 54
 70 60 34 50 43 41 56 45 57 54 47 35 50 35 56 25 60 52 58 59 32 52 30 54
 37 38 49 44 57 41 45 39 42 56 63 39 34 41 38 47 55 28 44 59 59 48 48 56
 56 35 47 51 46 35 46 54 46 65 37 46 52 22 68 38 61 10 47 42 55 53 49 32
 40 47 41 39 49 49 56 56 46 53 56 58 60 61 13]",Prrxl1WT
2,"[110, 100, 112]",21.7,1.41,13.43,2.48,"[13 19 12  8 18 17 20 26 20 25 13 18  9  2 16 22  2 19 23 28 12 30 20 12
 24 28 28 34 22 18 14 15  9 16 27 19 34 24 22 16 22 34 34 18 18 40 26 26
 36 30 11 16 16 12  7  2  2 12  4 24 16  5  4 21 16 27 12 10  5 29 24 14
 10 20 14 22 10 26 16 30 24 15  9 13  5 14  8 12  6 22  6  1 12 12 11 10
 10  1  9  2  2  1  4  2  6  2  4  2  4  1 14 38 32 19 25 15 34 15 17 21
 21 34 20 33 14 44 14  6  5 42 18 18 20 17 21 17 28 15  4 18  2 20 25 16
  1  8 20  3 19 17 20  4 13 24 15 17  2  6 24  3  2 34 50  7  4 20 19  2
  8 24 30 40 21 36  1 24 23 39 34 32 40 18 30  1 26 18 13 30 16 26 18 36
 36 40 19 41 20 38 14 36 28 12 38 24 20 32 38 38 20 42 13 29 37 20 20 24
 28 30 14 28 13 25 22 32 24 32 23 28 35 28 25 24 26 20 22 34 11 32 29 37
 31 20 47 33 15 20 42 12 44 44 33 27 28 22 28 20 44 12 12 22 22 34 22 26
 27 17 23 15 24 26 22 27 29 35 12 20  4  7 10  4  1 20 12 14 10  2  4 38
 12  8  1  2  4 11 17 20 18 12 26 18  7  2  2  2  2  1 14 17 18 22 14 18
 10 16 26 10  7  8  1  2  2  1]",Prrxl1WT
3,"[60, 44, 94]",24.97,2.8,23.87,2.51,"[ 2 14 20 16 10 10 12 16 24 16 24 22 32 12 20 27 23 20 18 26 18 20 24 42
 42 40 34 23 33 28 34 30 42 34 18 30 34  2 35 27 22 22 38 28 20 19 32 21
 19 28 39 13 20  2 20  2 10 36 16 11  9  6 32 34 42 42 26 16 28 42 16 38
 22 22 36 53 45 25 16 30 34 22 45 33 46 50 28 28 26 28 40 20 24 56 24 22
 32 43 29 38 22 22 48 25 75 41 31 41 20 16 40 22 14 32 14 25 43 34 47 46
  6 20 10 24 50 16 36 27 27 32 36 34 10 34 39 28 23 32 36 32 29 36 44 33
 41 42 13 42 27 25 46 11 15 31 13 26 31 26  8 40 64 30 40 53 42 48 38 36
 16  4 56 40 46 36 19 73 50 34 38 36 43 13 16 44 32 23 47 41 27 33 20 15
 12  1 23 12 51 48]",Prrxl1WT
4,"[69, 100, 121]",19.87,1.62,20.27,2.39,"[14  4 20 13 13  6 17 18 12 18 20 16 12 10 16 26 12 21 17  5 32 28 25 20
 18 18 20 26 17 30 40 14 24 22 28 28 18 20 32 12 22 18 26 18 26 26 18 44
 20 20 24 24 22 24 14 30 22 20 18 17  2 18  2 12 22 20 21  2  1 16 11 25
 26 15 17 20 18 18 24 28 25 30 34 36 17  9 22 18 30 13 24 22 24 37 44 32
 37 34 36 36 29 34 10 27 18 27 10 16 18 11 18 13 31 13 16 16 47 24 29 34
 33 35 29 34 50 24 31 21 26 26 23 20 14 26 20 12 20 12 20 31 43 26 28 22
 24 61 23 31 35 21 45 36 36 41 47 38 46 35 34  5  2 39 40 41 25 31 37 33
 10 37 38 24 35 37 17 10 22 19 32 44 44 30 34  9 31 45 55 24 39 19 24 27
 56 52 23 57 30 38 45 40 49 54 47 35 48 38 26 37 50 45 39 34 37 64 31 17
 49  4  2 60 47 56 52 44 34 21 50 34 43 42 47 25 40 35 53 43 51 37 18 18
 42 46  7 27 10 29 13 26 19 10 56 61 65 60 35 58 39 54 54 42 41 48 55 16
 62 64 23 19 52 45 15 36 34 10 30 18 16 14  1  1 26 13 38 27 27 38  4 22
 15 18]",Prrxl1WT
5,"[26, 4, 18, 24]",30.3,2.77,22.85,2.21,"[19 22 28 32 16 32 22 34 30 20 20 14 23 23 36 30  8 20 22 15 14 20 44 22
 14 15 29 46 21 13 36 40 28 38 26 34 22 26 28 25 34 24 48 34 30 18 26  1
 40 42 46 18 26 22 50 16 62 29 13 60 28 38 16 14 36 26 12 36 28 28 32 35]",Prrxl1WT
6,"[143, 45, 82, 155]",21.4,1.53,25.62,2.07,"[18 29  6 46 32  2 30 28 46 18 46 32 32 46 30 32 32 26 35 32 24 29 25 38
 28 30 26 40 30 25 47 40 37 49 16 41 30 30 24 18 44 29 27 32 26 34  4  1
  2 49  2  2 44 47 41 40 22  6  1  8 49 32 57 49 48 32 33 36 54 24 32 60
 36 28 35 45 20 38 44 46 34 33 32 41 42 38 52 54 32 32 37 50 26 53 41 54
 30 37 51 25 43 30 40 18 12 48 17 39 25 33 32 37 36 22 38 22 32 39 25 37
 15 53 32 31 18 28 22 27 22 22 30 18 25 20 23 33 23 37 36 24 24 49  1 20
 23 13 22  6 16 18 10 18 20  8 12 12  9 14 13 11 10 16 28 11 11 31  4 33
 31 27 31 40 27  8 28 30 39 11 10 30 32 12 28  8 22 24  9 13 31 30 21 24
 36 12 37 23 22 24 30 15 25 24 32 22 14 26 32 46 35 19 18 25 32 29 37 29
 22 26 37 24 40 40 17 19 39 23 29 38 25 25 41  2 51 55 39 44 17 42 32 30
 33 29 11  3 36 18 15 48 39 26 53 21 51 42 43 53 19 40 16 50 30 14 39 33
 59 17 47 39 33  6 20 21 15 24 18 14 12 22 13 16 44 16 17 24 27 19 49 30
 31 30 45 15 30 17 50 35  6 12 56 18 18 28 34 18 11  1 45 26 14 32 30 34
 14 18 13 16 19 18 12 40 16 15 19 15 13 38 17  1 21 38 35 42 27 42 20 40
 30 18 48 30 20 38  4 26 48 46 34 34 38 29 41 40 34 49 16 15  4  2 51 47
 26 48 43 25 51 23 46 14 68 48 52 20 45 44 22 32 17 13 29 44 20 30 22 14
 14 12 20 17 19  4  3 16 20 13 12 10 12 18 16 11 14 10 26 12 37 17 31 31
 30 58 43 18 16 55 16 42 13 19 36 18 42 31 20 20  9]",Prrxl1WT
7,"[201, 157]",30.6,2.57,49.35,3.51,"[34 27 35 37 40 16 39 27 17 32 40 34 31 35 12 47 27 40 22 36 42 17 36 43
 36 45 32 34 28 27 22 46 36 41 27 17 63 46 49 44 57  9 52 51 57 30 33 54
 30 20 20 17 13 17 22 24 40 19 30 23 26 18 16  4 24  1 55 80 40 33 44 22
 27 27 20 27 18 67 17 54 30 18 68 12 71 42 47 27 23 54 67 46 55 11 63 66
 17 43 15 44 56 18 60 54 11 26  8 29 16 64 37 61 37 32 25 37 42 28 35 33
 41 33 31 38 29 43 18 49 44 15 63 28 62 17 71 43 28 42 39 34  2 60 32  1
 53 25 15 54 39 35 24 69 34 61 63 61 43 20 71 41 24 23 21 78 47 17 72 32
 30 37 43 20 64 18 72 30 57 49 49 31 50 38 29 50 29 48 17 54 33 44 45 26
 57 62 40 60 34 48 46 46 58 36 30 42 22 18  6 24 54 47 29 33 30 32 44 41
  9 39 27 41  5 51 57 23 39 10 39 14 34 34 22 10 39 54 53 40 30 22 28 24
 16 43 42 38 34 12 32 46  4 55 45 30 34 51 11 32 48 69 66 16 61 62 52 56
 64 64 69 54 55 54 57 12 84 41 64 40  6 50 40 39 40 52 32 21 35 52 46 52
 47 50 55 55 57 50 62 54 62 50 77 46 41 64 49 63 50 73 38 70 51 62  8 58
 39 40 52 47 40 36 40 53 55 50 41 52 44 47 57 46  2 71 76 36 50 49 67 64
 48 37 47 66 51 52 56 39 41 58 49 71 38 71 39 67 65 51 54 57 62  6]",Prrxl1WT
8,"[140, 205]",28.2,2.33,26.95,2.97,"[46 42 30 28 31 23 26 24 17 19 16 32 24 28 18 26 28 11 15 21 32 14 26 17
 21 31 18 30 22 26 16 24 15 33 31  6 27 26 51 25 36 38 33 30  5 35 35 32
 29 28 48  6  8 15 22  2 37  5 16 22 20 18 25 25 21 18 39  3 24 20 34 22
 29 21 20 30 14 22 40 38 23 35 21 22 35 21 22 41 40 18 22 27  3 34 32 16
 20 24 24 39 16 44 20 16 22 18 38 16 42 64 42 20 16 42 20 18 20 50 35 13
 30 38 14 22 46 19 34 44 20 43 17 33 29 25 39 48 27 28 41 16 27 30 20 11
 40 48 33 33 26 10 44 21 57 19 10 34 27 35 45 34  4 12  9 52 24 14 28 45
 37 49 37 54 37 37 27 42 18 26 19 57  8 51 27 38 26 24  5 35 41 32 32 20
 24 36 15 46 51 48 48 20 44 29 60 13 60 39 38 16 40 56 48 22 28 18 30 11
 75 47 50 30 14 67 46 48 44 15 44 50 40 39 51 22 31 49 14 49 38 49 12 44
 23 23 20 16 13 43 18 64 30 17 42 11 24 59 12 22 14 60 32 14 14 14 40 12
 45 16 33 38 72 30 15 54 16 13 37 13 41 30 15 22 53 24 40 39 15 55 19 18
 16 52 36 17 49 48 32 48 22 24 58 29 13 44 31 38 41 18 28 40 16 31 41 20
 54 48 15 33 22 37 17 46 12 14 41 10 13 20 15 41 13 13 12 14 11 22 54 13
 24 43 14 59 13 22 11 14 23]",Prrxl1WT
9,"[138, 145, 79]",33.73,3.05,39.1,4.54,"[22  6 16 20 40 38 32 38 24 16 30 14 20 20 22 34 48 48 74 44 41 45 69 31
 36 48 44 56 42 25 25 21 73 34 52 61 37 44 56 47 66 12 16 41 22  6 30  7
 17 26 44 35 43 58  9 46 36 20 53  1  1  2 73 70 66 63 56 53 60 66 76 69
 70 63 66 76 58 68 27 71 73 36 50 30 19 39 54 53 22 50 59 65 81 60 70 71
 61 34 52 68 39 19 17  7 65 78 67 49 48 39 64 56 54 47 74 53 66 53 70 26
 53 67 41 58 70 74 81 60 51 65 76 51 20 38 46 59 48 68 43 53 32 29 48 67
 47 56 52 55 59 53 51 22 50 62 50 12 34 22 68 36 44 57 33 75 59 55 43 67
 29 70 61 59 61 48 55 14 43 53 40 73 62 34 59 43 57 57 68 46 45 62 29 56
 33 72 26  5 10 12  6 54 40 67 52 31 23 68 15 22 60  8 28 61 50 71 62 66
 72 69 24 68 62 55 19 58 61 68 43 75 69 50 47 27 65 61 37 49 48 36 70 78
 65 29 73 70 44 39 20 68 62 73 73 42 36  1  1 54 84 41 65 65 43 57 21 62
 52  8  1 36 30 38 14 14 12 22 69 48 41 49 66 81 41 72 40  8 24 19 29  9
 63 41 35 37 13 19 17 15 32 64 54 67 53 42 18 49 63 43 59 31 50 24 27 42
 61 55 52 41 23 13 65 72 44 26 21 44 61 46 33 75 49 73 67 34 26 62 32 46
 43 28  4  2  2 10 17  7 18  6 14 15 52  6 11  5  2  8  8  9  7  1  2 44
 30 11]",Prrxl1KO
10,"[140, 63, 39]",23.63,1.61,25.7,3.19,"[14 19 12 14 16 20 34 14 24 11 11 34 11 31 18 12 21 41 19 24 30 36 18 40
 24 20 12 22 20 14 15 23  7 34 28 10  8 21 15 14 14 20 12 10 16 28 12 16
 27  6 16  8 20  2 27 12  9 16 12 18 20 38 36 40 42 30 42 25 28 44 43 30
 34 36 27  5 31 37 16  9 36 25 32 41 34 27 14 30 31 39 46 19 20  9 26 29
 25 30 22 26 14 27 26 19 28 28 23 17 30 24 30 22 16 19 21 17  9 40 17 19
  7 26 41 15 18 31 23 32 29 14 23 29 22 29 20 21 25 31  7 15 24 28 38 26
 28 17 28 17 36 33 47 33 22 33 32  8  6  4 28 26 12  8 11 18 22 34 24 40
 16 22 22 28  1 12 16 37 38 28 23 25 17 56 34  8 24 47 11 42 46 12 39 16
 34 16 46 24 31  5 22 10 12  4  3 20 27 12 30 30 13 29 27 46 22 33 12 14
 38 31  9 72 55 42 29 44 60 38 26 35 32 73 23 59 51 32 19 53 10 72 52 25
 56  6]",Prrxl1KO
